preferredLabel,cluster_group,cluster_subgroup0,cluster_subgroup1,cluster_subgroup2,cluster_subgroup0_name,cluster_subgroup1_name,cluster_subgroup2_name,node,description
CAD for garment manufacturing,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,CAD for garment manufacturing,Softwares of computer aided design for garment manufacturing which allow create 2 or 3 dimensional drawings.
maintain electrical equipment,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,maintain electrical equipment,"Test electrical equipment for malfunctions. Take safety measures, company guidelines, and legislation concerning electrical equipment into account. Clean, repair and replace parts and connections as required."
electrical power safety regulations,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,electrical power safety regulations,"The compliance with safety measures which need to be taken during the installation, operation, and maintenance of constructions and equipment which function in the generation, transmission, and distribution of electrical power, such as the appropriate safety gear, equipment handling procedures, and preventive actions."
electric current,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,electric current,"Flow of electric charge, carried by electrons or ions in a medium such as an electrolyte or a plasma."
electric generators,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,electric generators,"The principles and operations of devices that can convert mechanical energy into electrical energy, such as dynamos and alternators, rotors, stators, armatures, and fields."
inspect underground power cables,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,inspect underground power cables,"Inspect the underground power cables during installation or repair activities in order to identify faults and assess the extent of damage or need for repairs, and to ensure they are correctly installed and maintained."
monitor electric generators,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,monitor electric generators,"Monitor the operation of electric generators in power stations in order to ensure functionality and safety, and to identify need for repairs and maintenance."
respond to electrical power contingencies,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,respond to electrical power contingencies,"Set in motion the strategies created for responding to emergency situations, as well as respond to unforeseen problems, in the generation, transmission, and distribution of electrical power, such as power outages, in order to rapidly solve the problem and return to normal operations."
transmission towers,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,transmission towers,"Types of tall structures which are used in the transmission and distribution of electrical energy, and which support overhead power lines, such as high voltage AC and high voltage DC transmission towers. The different types of tower designs and materials used for its construction, and the types of currents."
inspect overhead power lines,1-3-17,1,3,17,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,power | electrical | electric | generator | inspect,inspect overhead power lines,"Inspect the structures used in the transmission and distribution of electrical energy, such as the conductors, towers, and poles, to identify damage and need for repairs, and ensure routine maintenance is performed."
construction products,1-3-29,1,3,29,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,product | construction | wood,construction products,"The offered construction materials, their functionalities, properties and legal and regulatory requirements."
wood products,1-3-29,1,3,29,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,product | construction | wood,wood products,"The various wood products such as lumber and furniture, their functionalities, properties and legal and regulatory requirements."
musical genres,1-3-12,1,3,12,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,musical | genre | theory,musical genres,"Different musical styles and genres such as blues, jazz, reggae, rock, or indie."
musical theory,1-3-12,1,3,12,equipment | engineering | use | electrical | test,equipment | engineering | use | electrical | test,musical | genre | theory,musical theory,The body of interrelated concepts that constitutes the theoretical background of music.
provide technical documentation,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,provide technical documentation,"Prepare documentation for existing and upcoming products or services, describing their functionality and composition in such a way that it is understandable for a wide audience without technical background and compliant with defined requirements and standards. Keep documentation up to date."
ICT debugging tools,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,ICT debugging tools,"The ICT tools used to test and debug programs and software code, such as GNU Debugger (GDB), Intel Debugger (IDB), Microsoft Visual Studio Debugger, Valgrind and WinDbg."
analyse software specifications,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,analyse software specifications,"Assess the specifications of a software product or system to be developed by identifying functional and non-functional requirements, constraints and possible sets of use cases which illustrate interactions between the software and its users."
computer programming,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,computer programming,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages."
create flowchart diagram,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,create flowchart diagram,Compose a diagram that illustrates systematic progress through a procedure or system using connecting lines and a set of symbols.
debug software,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,debug software,"Repair computer code by analysing testing results, locating the defects causing the software to output an incorrect or unexpected result and remove these faults."
develop automated migration methods,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,develop automated migration methods,"Create automated transfer of ICT information between storage types, formats and systems to save human resources from performing the task manually."
develop software prototype,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,develop software prototype,Create a first incomplete or preliminary version of a piece of software application to simulate some specific aspects of the final product.
integrated development environment software,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,integrated development environment software,"The suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface, such as Visual Studio or Eclipse."
interpret technical texts,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,interpret technical texts,"Read and understand technical texts that provide information on how to perform a task, usually explained in steps."
tools for software configuration management,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,tools for software configuration management,"The software programs to perform configuration identification, control, status accounting and audit, such as CVS, ClearCase, Subversion, GIT and TortoiseSVN perform this management."
use software design patterns,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,use software design patterns,"Utilise reusable solutions, formalised best practices, to solve common ICT development tasks in software development and design."
use software libraries,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,use software libraries,Utilise collections of codes and software packages which capture frequently used routines to help programmers simplify their work.
utilise computer-aided software engineering tools,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,utilise computer-aided software engineering tools,"Use software tools (CASE) to support the development lifecycle, design and implementation of software and applications of high-quality that can be easily maintained."
collect customer feedback on applications,2-2-42,2,2,42,software | tool | technical | debug | develop,software | tool | technical | debug | develop,software | tool | technical | debug | develop,collect customer feedback on applications,Gather a response and analyse data from customers to identify requests or problems in order to improve applications and overall customer satisfaction.
Code of Conduct for Responsible Fisheries,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,Code of Conduct for Responsible Fisheries,Food and Agriculture Organisation of the United Nations (FAO) Code of Conduct for Responsible Fisheries and the guidelines established for professional fishers.
International Convention for the Prevention of Pollution from Ships,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,International Convention for the Prevention of Pollution from Ships,"The fundamental principals and requirements laid in the International Regulation for the Prevention of Pollution from Ships (MARPOL): Regulations for the Prevention of Pollution by Oil, Regulations for the Control of Pollution by Noxious Liquid Substances in Bulk, prevention of Pollution by Harmful Substances Carried by Sea in Packaged Form, Prevention of Pollution by Sewage from Ships, Prevention of Pollution by Garbage from Ships, Prevention of Air Pollution from Ships."
deterioration of fish products,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,deterioration of fish products,"Process of decomposition and spoilage of fish products: physical, enzymatic, microbiological and chemical processes occurring after harvesting."
extinguish fires,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,extinguish fires,"Choose the adequate substances and methods to extinguish fires depending on their size, such as water and various chemical agents. Use a breathing apparatus."
fisheries legislation,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,fisheries legislation,The study and analysis of different fisheries management approaches taking into account international treaties and industry norms in order to analyze fisheries management regulations. 
fishing gear,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,fishing gear,Identification of the different gear used in capture fisheries and their functional capacity.
fishing vessels,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,fishing vessels,Denomination of the different elements and equipment of fishing vessels.
international regulations for preventing collisions at sea,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,international regulations for preventing collisions at sea,"Fundamental aspects of the international regulations to prevent collisions at sea, such as the conduct of vessels in sight of one another, navigation lights and markers, major light and accoustic signals, maritime signalling and buoys."
maintain safe navigation watches,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,maintain safe navigation watches,"Observe principles in keeping a navigation watch. Take over, accept and pass on a watch. Steer the vessel and perform routine duties undertaken during a watch. Observe safety and emergency procedures. Observe safety precautions during a watch and take immediate actions in the event of fire or accident."
quality of fish products,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,quality of fish products,"Factors affecting the quality of fish products. For instance, differences between species, impact of the fishing gears and parasite influence on the preservation of quality."
risks associated with undertaking fishing operations,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,risks associated with undertaking fishing operations,General risks occuring when working on fishing boats and specific risks occurring only in some fishing modalities. Prevention of threats and accidents.
support vessel manoeuvres,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,support vessel manoeuvres,"Participate in manoeuvres at port: berthing, anchoring and other mooring operations. Contribute to a safe navigational watch."
survive at sea in the event of ship abandonment,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,survive at sea in the event of ship abandonment,"Identify muster signals and what emergencies they signal. Comply with established procedures. Don and use a lifejacket or an immersion suit. Safely jump into the water from a height. Swim and right an inverted liferaft while wearing a swim while wearing a lifejacket. Keep afloat without a lifejacket. Board a survival craft from the ship, or from the water while wearing a lifejacket. Take initial actions on boarding survival craft to enhance chance of survival. Stream a drogue or sea-anchor. Operate survival craft equipment. Operate location devices, including radio equipment."
swim,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,swim,Move through water by means of the limbs.
Global Maritime Distress and Safety System,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,Global Maritime Distress and Safety System,"The internationally agreed-upon set of safety procedures, types of equipment and communication protocols used to increase safety and make it easier to rescue distressed ships, boats and aircraft."
vessel safety equipment,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,vessel safety equipment,"Gain theoretical and practical knowledge of safety equipment used in vessels, including devices such as lifeboats, life rings, splash doors and fire doors, sprinkler systems, etc. Operate equipment during emergency situations."
pollution prevention,14-17-59,14,17,59,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fishing | vessel | fishery | international | prevention,pollution prevention,"The processes used to prevent pollution: precautions to pollution of the environment, procedures to counter pollution and associated equipment, and possible measures to protect the environment."
fire prevention procedures,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,fire prevention procedures,"The regulations concerning fire and explosion prevention, and the equipment, systems and methods used in it."
fire safety regulations,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,fire safety regulations,The legal rules to be applied for fire safety and fire prevention in a facility.
fire-fighting systems,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,fire-fighting systems,The devices and systems used to extinguish fires; the classes and chemistry of fire.
manage emergency care situations,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,manage emergency care situations,Manage situations in which decision making under time pressure is essential to save lives.
manage major incidents,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,manage major incidents,Take immediate action to respond to major incidents that affect the safety and security of individuals in private or public places such as road accidents.
use different types of fire extinguishers,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,use different types of fire extinguishers,Understand and apply various methods of firefighting and various types and classes of fire extinguishing equipment.
work as a team in a hazardous environment,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,work as a team in a hazardous environment,"Work together with others in a dangerous, sometimes noisy, environment, such as a building on fire or metal forging facilities, in order to achieve a higher degree of efficiency while heeding the co-workers' safety."
provide first aid,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,provide first aid,Administer cardiopulmonary resuscitation or first aid in order to provide help to a sick or injured person until they receive more complete medical treatment.
select hazard control,14-17-27,14,17,27,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,fire | manage | prevention | procedure | safety,select hazard control,Perform appropriate selection of hazard control measures and risk management
operate small craft,14-17-13,14,17,13,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,small | craft | operate | prepare | operation,operate small craft,Operate small craft used for transport and feeding.
prepare for small craft operation,14-17-13,14,17,13,food | product | processing | manufacturing | beverage,fire | prevention | fishing | vessel | safety,small | craft | operate | prepare | operation,prepare for small craft operation,"Prepare for personnel operation of small craft, both with licence and without licence."
execute software tests,14-21-51,14,21,51,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,software | test | testing | execute | level,execute software tests,"Perform tests to ensure that a software product will perform flawlessly under the specified customer requirements, using specialised software tools. Apply software testing techniques and tools in order to identify software defects (bugs) and malfunctions."
levels of software testing,14-21-51,14,21,51,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,software | test | testing | execute | level,levels of software testing,"The levels of testing in the software development process, such as unit testing, integration testing, system testing and acceptance testing."
provide software testing documentation,14-21-51,14,21,51,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,software | test | testing | execute | level,provide software testing documentation,Describe software testing procedures to technical team and analysis of test outcomes to users and clients in order to inform them about state and efficiency of software.
replicate customer software issues,14-21-51,14,21,51,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,software | test | testing | execute | level,replicate customer software issues,Use specialised tools to replicate and analyse the conditions that caused the set of software states or outputs reported by the customer in order to provide adequate solutions.
report test findings,14-21-51,14,21,51,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,software | test | testing | execute | level,report test findings,"Report test results with a focus on findings and recommendations, differentiating results by levels of severity. Include relevant information from the test plan and outline the test methodologies, using metrics, tables, and visual methods to clarify where needed."
administer ingredients in food production,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,administer ingredients in food production,ngredients to be added and the required amounts according to the recipe and the way those ingredients are to be administered.
apply GMP,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,apply GMP,Apply regulations regarding manufacture of food and food safety compliance. Employ food safety procedures based on Good Manufacturing Practices (GMP).
apply HACCP,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,apply HACCP,Apply regulations regarding manufacture of food and food safety compliance. Employ food safety procedures based on Hazard Analysis Critical Control Points (HACCP).
apply requirements concerning manufacturing of food and beverages,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,apply requirements concerning manufacturing of food and beverages,"Apply and follow national, international, and internal requirements quoted in standards, regulations and other specifications related with manufacturing of food and beverages."
be at ease in unsafe environments,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,be at ease in unsafe environments,"Be at ease in unsafe environments like being exposed to dust, rotating equipment, hot surfaces, sub-freezing and cold storage areas, noise, wet floors and moving lift equipment."
carry out checks of production plant equipment,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,carry out checks of production plant equipment,"Carry out checks of the machinery and equipment used in the production plant. Ensure that the machinery is working properly, set machines before usage, and assure continuous operability of the equipment."
check quality of products on the production line,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,check quality of products on the production line,Check products for quality on the production line and remove defective items before and after packaging.
clean food and beverage machinery,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,clean food and beverage machinery,Clean machinery used for food or beverage production processes. Prepare the appropriate solutions for cleaning. Prepare all parts and assure that they are clean enough to avoid deviation or errors in the production process.
collect samples for analysis,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,collect samples for analysis,Collect samples of materials or products for laboratory analysis.
disassemble equipment,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,disassemble equipment,Disassembles equipment using hand tools in order to clean equipments and to perform regular operational maintenance.
ensure public safety and security,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,ensure public safety and security,"Implement the relevant procedures, strategies and use the proper equipment to promote local or national security activities for the protection of data, people, institutions, and property."
ensure sanitation,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,ensure sanitation,"Keep workspaces and equipment free from dirt, infection, and disease by removing waste, trash and providing for appropriate cleaning."
exert quality control to processing food,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,exert quality control to processing food,Ensure the quality of all factors involved in a food production process.
follow hygienic procedures during food processing,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,follow hygienic procedures during food processing,Ensure a clean working space according to hygienic standards in the food processing industry.
follow production schedule,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,follow production schedule,"Follow production schedule taking into account all requirements, times and needs. This schedule outlines what individual commodities must be produced in each time period and encapsulates various concerns like production, staffing, inventory, etc. It is usually linked to manufacturing where the plan indicates when and how much of each product will be demanded. Utilise all the information in the actual implementation of the plan."
follow verbal instructions,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,follow verbal instructions,Have the ability to follow spoken instructions received from colleagues. Strive to understand and clarify what is being requested.
follow written instructions,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,follow written instructions,Follow written directions in order to perform a task or carry out a step-by-step procedure.
food safety principles,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,food safety principles,"Scientific background of food safety which includes preparation, handling, and storage of food to minimise the risk of foodborne illness and other health hazards."
food storage,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,food storage,"The proper conditions and methods to store food to keep it from spoiling, taking into account humidity, light, temperature and other environmental factors."
lift heavy weights,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,lift heavy weights,Lift heavy weights and apply ergonomic lifting techniques to avoid damaging the body.
mark differences in colours,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,mark differences in colours,"Identify differences between colours, such as shades of colour."
monitor temperature in manufacturing process of food and beverages,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,monitor temperature in manufacturing process of food and beverages,Monitor and control required temperatures in the different phases of production until the product reaches suitable properties according to specifications.
operate weighing machine,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,operate weighing machine,"Work with a weighing machine to measure raw, half-finished and finished products."
perform cleaning duties,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,perform cleaning duties,"Perform cleaning duties such as waste removal, vacuuming, emptying bins, and general cleaning of the working area. Cleaning activities should follow health and safety regulations if required."
pump products,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,pump products,Operate pumping machines according to specific procedures and depending on the kind of product. Ensure correct quantities and adequate feeding for the process.
secure goods according to work orders,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,secure goods according to work orders,"Fasten bands around stacks or articles, prior to shipment or storage."
set up machine controls,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,set up machine controls,"Set up or adjust machine controls to regulate conditions such as material flow, temperature, or pressure."
temperature scales,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,temperature scales,Celsius and Fahrenheit temperature scales.
tolerate strong smells,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,tolerate strong smells,Tolerate strong smells expelled by the goods being processed during the production of goods.
maintain cutting equipment,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,maintain cutting equipment,"Maintenance of the cutting equipment (knives, cutters, and other elements)."
analyse samples of food and beverages,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,analyse samples of food and beverages,Examine if food or beverages are safe for human consumption. Verify the right levels of key ingredients and the correctness of the label declarations and the levels of nutrients present. Ensure samples of food and beverages comply to specific standards or procedures.
quality assurance methodologies,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,quality assurance methodologies,"Quality assurance principles, standard requirements, and the set of processes and activities used for measuring, controlling and ensuring the quality of products and processes."
animal anatomy for food production,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,animal anatomy for food production,"The anatomy of animals, their organs and their functions, as well as the usage of these organs for food production after slaughtering."
cope with blood,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,cope with blood,"Cope with blood, organs, and other internal parts without feeling distressed."
ensure refrigeration of food in the supply chain,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,ensure refrigeration of food in the supply chain,Apply different procedures to maintain the chain of temperature of foodstuffs and products in each stage of the production and supply chain.
handle knives for meat processing activities,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,handle knives for meat processing activities,"Handle knives for meat processing activities. Use the correct knives and cutting instruments for meat preparations, prepared meat products, or meat products made by a butcher."
handle meat processing equipment in cooling rooms,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,handle meat processing equipment in cooling rooms,Push and put carcasses in and out the cooling room as specified. Use equipment specific to this room to handle meat and meat products.
legislation about animal origin products,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,legislation about animal origin products,"The applicable legal rules on temperature, waste materials, traceability, labelling, trading, and the transport of animal origin products. "
process livestock organs,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,process livestock organs,"Process livestock organs and other byproducts for meat manufacturing processes. Remove organs from carcasses and perform activities such as cutting or dividing parts, washing organs, execute specific treatments, packaging, and labelling."
split animal carcasses,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,split animal carcasses,"Separate animal carcasses and organs into larger subsections such as head and limbs, debone and cut them."
tend meat processing production machines,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,tend meat processing production machines,Operate production equipment and tools to process meat and meat products.
trace meat products,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,trace meat products,Take the regulations regarding the traceability of final products within the sector into account.
warm blooded animal organs,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,warm blooded animal organs,"The difference between white and red organs of warm blooded animals and their position in the body. A white organ can be the stomach, red organs can be the heart, the liver, or the lungs. The norms to treat these organs properly."
apply preservation treatments,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,apply preservation treatments,"Apply common treatments to preserve the characteristics of food products taking care of their appearance, smell and taste."
biotechnology,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,biotechnology,"The technology that uses, modifies or harnesses biological systems, organisms and cellular components to develop new technologies and products for specific uses."
blend beverages,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,blend beverages,"Master blending beverages as to create new beverage products that are attractive to the market, interesting to companies, and innovative in the market."
care for food aesthetic,14-21-64,14,21,64,food | product | processing | manufacturing | beverage,food | processing | manufacturing | beverage | product,food | processing | manufacturing | beverage | product,care for food aesthetic,"Convey presentation and aesthetic elements into the production of food. Cut products properly, manage right quantities into the product, care for the attractiveness of the product."
